,Year,Month,temp,Nombre,population,co2_including_luc,cumulative_co2_including_luc
116,1994,2.0,0.02,14.0,5660727808.0,28265.32,1503945.0
117,1995,2.0,0.79,8.0,5743219712.0,28746.965,1532692.0
118,1996,2.0,0.46,15.0,5825145344.0,29444.461,1562136.5
119,1997,2.0,0.4,14.0,5906481152.0,31407.445,1593544.0
120,1998,2.0,0.87,17.0,5987312640.0,29699.977,1623243.875
121,1999,2.0,0.64,18.0,6067758592.0,30221.426,1653465.375
122,2000,2.0,0.56,21.0,6148898816.0,30569.545,1684035.0
123,2001,2.0,0.44,25.0,6230747136.0,30407.066,1714442.0
124,2002,2.0,0.78,17.0,6312407552.0,31458.27,1745900.25
125,2003,2.0,0.58,25.0,6393898496.0,33304.418,1779204.625
126,2004,2.0,0.72,19.0,6475751424.0,33998.957,1813203.625
127,2005,2.0,0.6,26.0,6558176256.0,34331.27,1847534.75
128,2006,2.0,0.73,19.0,6641416192.0,35666.414,1883201.375
129,2007,2.0,0.7,14.0,6725948416.0,35943.77,1919145.125
130,2008,2.0,0.38,26.0,6811597312.0,36728.855,1955874.0
131,2009,2.0,0.52,14.0,6898306048.0,36597.754,1992471.625
132,2010,2.0,0.83,34.0,6985603072.0,38202.047,2030673.75
133,2011,2.0,0.48,19.0,7073125376.0,39451.125,2070124.875
134,2012,2.0,0.49,38.0,7161697792.0,39833.223,2109958.0
135,2013,2.0,0.62,18.0,7250593280.0,39947.32,2149905.25
136,2014,2.0,0.55,22.0,7339013632.0,40495.234,2190400.75
137,2015,2.0,0.9,22.0,7426597376.0,40944.281,2231344.75
138,2016,2.0,1.36,21.0,7513474048.0,40052.039,2271397.0
139,2017,2.0,1.13,19.0,7599822336.0,40428.684,2311825.75
140,2018,2.0,0.85,23.0,7683789824.0,41007.867,2352833.5
141,2019,2.0,0.95,20.0,7764951040.0,41639.84,2394473.25
142,2020,2.0,1.24,37.0,7840952832.0,39321.844,2433795.25
143,2021,2.0,0.64,26.0,7909295104.0,41062.895,2474858.0
144,1950,3.0,-0.08,0.0,2499322112.0,11428.435,607670.188
145,1951,3.0,-0.2,0.0,2543130368.0,11978.877,619649.062
146,1952,3.0,-0.08,3.0,2590270976.0,12190.116,631839.125
147,1953,3.0,0.11,2.0,2640278784.0,12479.874,644319.0
148,1954,3.0,-0.15,2.0,2691979264.0,12793.677,657112.688
149,1955,3.0,-0.32,1.0,2746072064.0,13628.81,670741.5
150,1956,3.0,-0.21,6.0,2801002752.0,14315.245,685056.812
151,1957,3.0,-0.05,1.0,2857866752.0,14768.167,699824.938
152,1958,3.0,0.09,1.0,2916108032.0,15192.604,715017.562
153,1959,3.0,0.18,0.0,2970292224.0,15960.473,730978.0
154,1960,3.0,-0.35,1.0,3019233536.0,15955.755,746933.75
155,1961,3.0,0.09,3.0,3068370688.0,15524.516,762458.25
156,1962,3.0,0.1,3.0,3126686720.0,15643.748,778102.062
157,1963,3.0,-0.14,1.0,3195779328.0,15924.23,794026.25
158,1964,3.0,-0.21,5.0,3267212288.0,16305.338,810331.625
159,1965,3.0,-0.13,3.0,3337112064.0,16384.297,826715.875
160,1966,3.0,0.03,10.0,3406416896.0,16714.65,843430.562
161,1967,3.0,0.05,3.0,3475448064.0,17168.934,860599.5
162,1968,3.0,0.2,2.0,3546810880.0,17888.312,878487.812
163,1969,3.0,0.01,4.0,3620655360.0,18433.381,896921.188
164,1970,3.0,0.06,2.0,3695390208.0,19497.402,916418.562
165,1971,3.0,-0.18,5.0,3770163200.0,20091.359,936509.875
166,1972,3.0,0.02,1.0,3844800768.0,20819.232,957329.188
167,1973,3.0,0.29,7.0,3920251392.0,21533.803,978862.938
168,1974,3.0,-0.05,4.0,3995516928.0,21338.432,1000201.375
169,1975,3.0,0.12,6.0,4069437184.0,21424.682,1021626.062
170,1976,3.0,-0.22,2.0,4142505728.0,22296.721,1043922.812
171,1977,3.0,0.24,6.0,4215772416.0,22910.027,1066832.875
172,1978,3.0,0.19,8.0,4289657600.0,23300.564,1090133.375
173,1979,3.0,0.19,5.0,4365582848.0,23677.932,1113811.375
174,1980,3.0,0.3,7.0,4444007936.0,23585.891,1137397.25
175,1981,3.0,0.48,9.0,4524627456.0,23427.91,1160825.125
176,1982,3.0,0.03,16.0,4607984640.0,23293.379,1184118.5
177,1983,3.0,0.41,14.0,4691884032.0,23811.387,1207929.875
178,1984,3.0,0.26,5.0,4775836160.0,24970.838,1232900.75
179,1985,3.0,0.17,12.0,4861730816.0,25405.865,1258306.5
180,1986,3.0,0.3,6.0,4950063104.0,25744.014,1284050.625
181,1987,3.0,0.18,12.0,5040984576.0,26386.771,1310437.375
182,1988,3.0,0.51,14.0,5132294144.0,27166.314,1337603.625
183,1989,3.0,0.36,9.0,5223704064.0,27279.248,1364882.875
184,1990,3.0,0.8,12.0,5316175872.0,27634.754,1392517.75
185,1991,3.0,0.35,23.0,5406245888.0,28002.021,1420519.625
186,1992,3.0,0.48,16.0,5492686336.0,27470.73,1447990.375
187,1993,3.0,0.36,21.0,5577433600.0,27689.318,1475679.75
188,1994,3.0,0.29,14.0,5660727808.0,28265.32,1503945.0
189,1995,3.0,0.46,9.0,5743219712.0,28746.965,1532692.0
190,1996,3.0,0.32,9.0,5825145344.0,29444.461,1562136.5
191,1997,3.0,0.51,16.0,5906481152.0,31407.445,1593544.0
192,1998,3.0,0.63,28.0,5987312640.0,29699.977,1623243.875
